Accountno:,24429712,,,,,
Customer Name:,MR RS,,,,,
Address:,Add,,,,,
,,,,,,
,,,,,,
Transaction Details:,,,,,,
Date,Sr.No.,Transaction Details,Reward Point Header,Intl.Amount,Amount(in Rs),BillingAmountSign
0000XXXXXXXX9712,,,,,,
15-03-2022,8902285234,Annual Fee reversal for 1st yr,0,0,0,CR
4035XXXXXXXX4001,,,,,,
03-03-2022,8842324145,INFINITY PAYMENT RECEIVED THANK YOU,0,0,8737.09,CR
15-03-2022,8902423189,BBPS/Jio Postpaid (Fetch,9,0,470.82,
4501XXXXXXXX6007,,,,,,
16-02-2022,8770023283,AMAZON PAY INDIA PRIVATET Bangalore IN,0,0,1,
17-02-2022,8771954514,MSW*SHREYAS HIQ FUEL PA ,2,0,102.14,
